tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,budget,openingweekend
tt1636826,movie,Project X,Project X,0,2012,\N,88,"Comedy,Crime",12000000.0,21051363.0
tt1637688,movie,In Time,In Time,0,2011,\N,109,"Action,Sci-Fi,Thriller",40000000.0,12050368.0
tt1702439,movie,Safe Haven,Safe Haven,0,2013,\N,115,"Drama,Romance,Thriller",28000000.0,21401594.0
tt1704573,movie,Bernie,Bernie,0,2011,\N,99,"Biography,Comedy,Crime",5000000.0,85805.0
tt1707386,movie,Les Misérables,Les Misérables,0,2012,\N,158,"Drama,Musical,Romance",61000000.0,28027000.0
tt1707392,movie,Lovely Molly,Lovely Molly,0,2011,\N,99,"Drama,Horror",1000000.0,34702.0
tt1710469,movie,Seasons of Gray,Seasons of Gray,0,2013,\N,90,Drama,500000.0,11714.0
tt1714206,movie,The Spectacular Now,The Spectacular Now,0,2013,\N,95,"Comedy,Drama,Romance",2500000.0,197415.0
tt1714915,movie,Only Lovers Left Alive,Only Lovers Left Alive,0,2013,\N,123,"Comedy,Drama,Horror",7000000.0,87989.0
tt1716760,movie,Raymond Did It,Raymond Did It,0,2011,\N,83,Horror,40000.0,3192.0
tt1787988,movie,Talaash,Talaash,0,2012,\N,140,"Crime,Drama,Mystery",7395080.0,1638706.0
tt1791682,movie,While Were Young,While Were Young,0,2014,\N,97,"Comedy,Drama,Mystery",10000000.0,227688.0
tt1798243,movie,Rudderless,Rudderless,0,2014,\N,105,"Comedy,Drama,Music",5000000.0,37440.0
tt1798603,movie,Bad Santa 2,Bad Santa 2,0,2016,\N,92,"Comedy,Crime,Drama",26000000.0,6176680.0
tt1798709,movie,Her,Her,0,2013,\N,126,"Drama,Romance,Sci-Fi",23000000.0,260382.0
tt1800246,movie,That Awkward Moment,That Awkward Moment,0,2014,\N,94,"Comedy,Romance",8000000.0,8742109.0
tt1837664,movie,Sweet Dreams,Sweet Dreams,0,2013,\N,84,"Documentary,Family,News",6000.0,1217.0
tt1837703,movie,The Fifth Estate,The Fifth Estate,0,2013,\N,128,"Biography,Drama,Thriller",28000000.0,1714000.0
tt1837709,movie,Winters Tale,Winters Tale,0,2014,\N,118,"Drama,Fantasy,Mystery",60000000.0,8007059.0
tt1839492,movie,Ruby Sparks,Ruby Sparks,0,2012,\N,104,"Comedy,Drama,Fantasy",8000000.0,140822.0
tt1839596,movie,Rockstar,Rockstar,0,2011,\N,159,"Drama,Music,Musical",10920000.0,612235.0
